id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
71,Top of the Hill Modern Bungalow,Siglap Bank,1.31803048,103.9206587,0,0,1,0,5,3,0,9800000,8462,7,7,Bungalow House,0,Freehold,0,0, 
72,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1144712,646,2,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
73,The Topiary,11 Fernvale Lane,1.388871431,103.8720172,0,0,3,0,5,2,2,965000,915,3,2,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
74,642D Punggol Drive,642D Punggol Drive,1.39879751,103.9158457,0,0,5,0,5,1,2,510000,1205,3,2,HDB Flat,2002,99-year Leasehold,0,0, 
75,77A Redhill Road,77A Redhill Road,1.288381067,103.8173911,1,4,3,0,5,1,0,785000,968,3,2,HDB Flat,2004,99-year Leasehold,0,0, 
76,Residence Twenty-Two,246 Telok Kurau Road,1.31101225,103.9110422,0,2,3,0,5,2,0,2124969,1195,3,3,Condominium,0,Freehold,1.497576899,0,FRANKEL
77,Opera estate,Jalan bangsawan,1.321734212,103.9240116,0,0,4,0,5,5,0,3550000,2300,3,3,Terraced House,0,Freehold,0,0, 
78,Alex Residences,Alexandra View,1.290300223,103.8175609,1,2,1,0,5,0,0,1788888,904,3,2,Apartment,2017,99-year Leasehold,4.900021534,5.17,REDHILL
79,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,1190000,861,3,2,Condominium,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
80,Riverfront Residences,45 Hougang Avenue 7,1.37088909,103.8996452,0,0,1,0,5,0,2,1100000,915,3,2,Condominium,0,99-year Leasehold,3.080000054,0,KANGKAR
81,Avenue South Residence,5 Silat Avenue,1.276048396,103.8293638,0,0,3,0,5,0,0,1779999,947,3,2,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
82,Midtown Modern,16 Tan Quee Lan Street,1.298505223,103.8570884,5,1,4,0,5,2,5,2400000,904,3,2,Condominium,0,99-year Leasehold,4.200055504,0,BUGIS
83,Palm Isles,32 Flora Drive,1.356888655,103.9641941,0,0,0,0,0,0,0,938000,990,3,2,Condominium,2015,99-year Leasehold,1.400013424,2.8,FLORA DRIVE
84,Pasir Ris One,530 Pasir Ris Dr 1,1.371238357,103.9494298,1,1,2,0,5,0,0,830000,1130,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
85,3. 5sty Semid-7min walk to mrt.,Jalan Krian,1.324212547,103.9160156,1,0,1,0,5,5,0,4280000,4500,5,6,Semi-Detached House,0,Freehold,0,0, 
86,7 Boon Keng Road,7 Boon Keng Road,1.316789225,103.8617819,2,1,2,0,5,1,0,1150000,1151,3,2,HDB Flat,2011,99-year Leasehold,0,0, 
87,The Wisteria,590 Yishun Ring Road,1.418447036,103.8411124,0,0,5,0,5,1,1,960000,893,3,2,Condominium,2018,99-year Leasehold,2.8,3.34,YISHUN SOUTH
88,3 Saint George's Road,3 Saint George's Road,1.322587352,103.8611073,1,2,5,0,5,1,0,325000,635,2,1,HDB Flat,1975,99-year Leasehold,0,0, 
89,Duchess Avenue,Duchess Avenue,1.323556803,103.8028899,1,0,1,0,1,2,0,17200000,8000,8,8,Bungalow House,2016,999-year Leasehold,0,0, 
90,Symphony Suites,3 Yishun Close,1.434768994,103.844173,0,0,4,0,5,0,1,899999,786,3,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
91,88 Dawson Road,88 Dawson Road,1.29579395,103.8092648,1,0,2,0,5,0,0,848000,936,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
92,Laverne's Loft,66 Lorong L Telok Kurau,1.311269132,103.9102779,0,0,2,0,5,2,0,700000,441,1,1,Condominium,2014,Freehold,1.4,0,FRANKEL
93,CHANGI RISE CONDOMINIUM,8 Simei Rise,1.347873636,103.9595327,1,0,0,0,0,3,0,1360000,1496,4,4,Condominium,2004,99-year Leasehold,1.6,2.3,SIMEI
94,The Topiary,11 Fernvale Lane,1.388871431,103.8720172,0,0,3,0,5,2,2,1380000,1259,3,4,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
95,Canary Park,37 Jalan Simpang Bedok,1.33357983,103.9453408,1,0,2,0,5,4,1,3360000,3200,6,3,Terraced House,1992,Freehold,0,0, 
96,Kingsford Waterbay,74 Upper Serangoon View,1.374720657,103.9037317,0,0,1,0,2,0,0,1100000,850,3,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
97,111 Emerald Hill,111 Emerald Hill,1.305041547,103.8391513,1,0,4,0,3,2,5,4590000,1970,3,4,Condominium,2012,Freehold,3.079617259,0,CAIRNHILL
98,The Skywoods,1 Dairy Farm Heights,1.365117414,103.7718732,1,0,1,0,1,0,0,1450000,1066,3,3,Condominium,2017,99-year Leasehold,2.100046735,3.21,DAIRY FARM
99,Chestervale,39 Bangkit Road,1.379025023,103.7744106,0,1,4,0,5,0,1,998000,1410,3,3,Condominium,1997,99-year Leasehold,2.8,0,BANGKIT
100,Urban Vista,2 Tanah Merah Kechil Link,1.32766677,103.9447459,1,1,3,0,4,5,1,640000,430,1,1,Condominium,2016,99-year Leasehold,2.800014287,3.64,BEDOK NORTH
101,Urban Vista,2 Tanah Merah Kechil Link,1.32766677,103.9447459,1,1,3,0,4,5,1,849000,549,2,1,Condominium,2016,99-year Leasehold,2.800014287,3.64,BEDOK NORTH
102,455 Sin Ming Avenue,455 Sin Ming Avenue,1.358728426,103.8306428,0,0,1,0,5,4,1,1050000,2012,3,2,HDB Flat,1988,99-year Leasehold,0,0, 
103,Clavon,4 Clementi Avenue 1,1.308912438,103.7670551,0,3,3,0,4,3,2,2330960,1582,4,3,Condominium,0,99-year Leasehold,3.500033247,0,CLEMENTI WOODS
104,*D10*Eminence Landed*Henry Park Primary* Modern 2. 5 Storey Semi-D @ Luxurious Holland Grove Park,Holland Grove,1.313126069,103.7800153,0,0,0,0,2,4,0,8280000,7000,5,7,Semi-Detached House,0,Freehold,0,0, 
105,Citylights,80 Jellicoe Road,1.308275812,103.8631174,2,3,5,0,5,5,2,1880000,1421,3,3,Condominium,2007,99-year Leasehold,4.200010963,4.36,LAVENDER
106,Euhabitat,202 Jalan Eunos,1.327763561,103.9079615,0,0,0,0,4,0,0,1198000,1012,2,2,Condominium,2016,99-year Leasehold,1.400007755,3.64,KAKI BUKIT
107,West Coast Landed,West Coast Green,1.31563141,103.7562699,0,2,1,0,5,3,0,4199000,2500,3,3,Corner Terrace,0,Freehold,0,0, 
108,118 Pasir Ris Street 11,118 Pasir Ris Street 11,1.3671492,103.9548053,0,0,1,0,5,0,0,500000,1130,3,2,HDB Flat,1988,99-year Leasehold,0,0, 
109,1953,1 Tessensohn Road,1.316477524,103.8577508,3,1,4,0,5,2,3,2157000,1120,3,2,Apartment,0,Freehold,3.239726356,0,LAVENDER
110,Grandeur Park Residences,3 Bedok South Avenue 3,1.326092355,103.9452697,1,1,4,0,5,5,1,908000,560,2,1,Condominium,0,99-year Leasehold,2.100024596,4.56,BEDOK SOUTH
111,The Woodleigh Residences,13 Bidadari Park Drive,1.338214403,103.87209,1,0,0,0,2,0,0,1722000,850,3,2,Apartment,0,99-year Leasehold,3.500007861,0,BIDADARI
112,The Woodleigh Residences,13 Bidadari Park Drive,1.338214403,103.87209,1,0,0,0,2,0,0,2542000,1119,3,3,Apartment,0,99-year Leasehold,3.500007861,0,BIDADARI
113,Serene Park,Tamarind Road,1.389694148,103.8601944,0,0,0,0,5,2,0,4498000,3225,4,4,Semi-Detached House,0,Freehold,0,0, 
114,Penrose,20 Sims Drive,1.319412782,103.879496,0,0,0,0,0,0,0,2113960,1389,4,3,Condominium,0,99-year Leasehold,3.000024653,0,ALJUNIED
115,One-North Residences,9 One-North Gateway,1.301733345,103.7900009,3,0,3,0,5,5,2,2300000,1324,3,3,Apartment,2009,99-year Leasehold,2.5,4.15,ONE NORTH
116,187B Rivervale Drive,187B Rivervale Drive,1.394297911,103.9058476,0,1,2,0,5,1,1,428000,979,3,2,HDB Flat,1999,99-year Leasehold,0,0, 
117,4 Jalan Bukit Ho Swee,4 Jalan Bukit Ho Swee,1.287422399,103.8312389,1,4,5,0,5,3,1,340000,635,2,2,HDB Flat,1962,99-year Leasehold,0,0, 
118,19 Dover Crescent,19 Dover Crescent,1.307835871,103.7836359,3,1,5,0,5,2,2,688000,990,3,2,HDB Flat,2002,99-year Leasehold,0,0, 
119,D'Leedon,1 Leedon Heights,1.316090219,103.8023,1,1,0,0,3,1,0,8800000,5000,4,5,Condominium,2014,99-year Leasehold,2.905397956,4,FARRER COURT
120,The Interlace,200 200 Depot Road,1.282217696,103.803662,0,1,2,0,4,1,1,1200000,807,2,2,Condominium,2013,99-year Leasehold,2.236991622,3.36,DEPOT ROAD
121,Mon Jervois,41 Jervois Road,1.293652271,103.8219972,0,0,2,0,3,0,0,2850000,1389,3,3,Condominium,2016,99-year Leasehold,1.400089306,3.8,CHATSWORTH
122,172B Edgedale Plains,172B Edgedale Plains,1.395724021,103.9118054,0,0,4,0,5,1,1,499888,1184,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
123,929 Tampines Street 91,929 Tampines Street 91,1.346391724,103.939614,1,2,3,0,5,0,2,480000,1119,3,2,HDB Flat,1984,99-year Leasehold,0,0, 
124,807A Chai Chee Road,807A Chai Chee Road,1.327073879,103.9231882,0,2,5,0,5,2,2,640000,1001,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
125,The Nautical,97 Jalan Sendudok,1.442817008,103.8247377,0,0,1,0,4,1,1,820000,764,2,2,Condominium,2016,99-year Leasehold,1.400010844,2.75,SEMBAWANG SPRINGS
126,Bungalow land-9470sf,Lorong K telok kurau,1.313081437,103.911771,0,0,1,0,5,2,0,10800000,3000,3,3,Bungalow House,0,Freehold,0,0, 
127,De Centurion,6A Tanjong Rhu Road,1.29881006,103.8843503,0,1,0,0,4,2,0,1780000,1044,3,2,Apartment,2010,Freehold,2.1,0,TANJONG RHU
128,Clavon,4 Clementi Avenue 1,1.308912438,103.7670551,0,3,3,0,4,3,2,1944000,1281,4,3,Condominium,0,99-year Leasehold,3.500033247,0,CLEMENTI WOODS
129,Queens Peak,1 Dundee Road,1.294746118,103.8068303,1,1,2,0,5,0,1,1899000,947,3,2,Condominium,0,99-year Leasehold,4.9,4.85,MARGARET DRIVE
130,Lengkong Satu,Lengkong Satu,1.3266912,103.9129732,1,0,1,0,5,3,0,4000000,3000,4,3,Semi-Detached House,0,Freehold,0,0, 
131,78 Guan Chuan Street,78 Guan Chuan Street,1.283326114,103.8310145,1,1,4,0,5,1,1,1100000,925,1,1,Walk-up Apartment,1937,99-year Leasehold,0.035696057,0,TIONG BAHRU
132,250 Hougang Avenue 3,250 Hougang Avenue 3,1.35957926,103.8913049,0,2,4,0,5,0,1,285000,721,2,2,HDB Flat,1983,99-year Leasehold,0,0, 
133,71 Bedok South Road,71 Bedok South Road,1.320416017,103.9427323,0,2,2,0,5,5,0,328000,721,2,2,HDB Flat,1977,99-year Leasehold,0,0, 
134,489A Choa Chu Kang Avenue 5,489A Choa Chu Kang Avenue 5,1.375600948,103.74036,0,0,3,0,5,0,2,580000,1216,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
135,The Lakefront Residences,42 Lakeside Drive,1.3433524,103.7193036,1,1,1,0,5,1,0,1550000,1205,3,3,Condominium,2014,99-year Leasehold,3.500049636,3.72,TAMAN JURONG
136,110 Teck Whye Lane,110 Teck Whye Lane,1.378236953,103.7522083,0,0,4,0,5,2,1,388000,1109,3,2,HDB Flat,1987,99-year Leasehold,0,0, 
137,Archipelago,533 Bedok Reservoir Road,1.338558134,103.9209194,1,0,2,0,5,2,0,2600000,2541,4,5,Condominium,2015,99-year Leasehold,1.400020604,2.86,BEDOK RESERVOIR
138,Pasir Ris Beach Park,74 Pasir Ris Terrace,1.382600119,103.9434251,0,0,1,0,5,1,1,4280000,3100,4,5,Terraced House,1976,Unknown Tenure,0,0, 
139,The Wisteria,590 Yishun Ring Road,1.418447036,103.8411124,0,0,5,0,5,1,1,1480000,1173,4,2,Condominium,2018,99-year Leasehold,2.8,3.34,YISHUN SOUTH
140,Kingsford Waterbay,Upper Serangoon View,1.377433378,103.9037136,0,0,1,0,5,0,0,830000,689,1,1,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
141,Fulcrum,33 Fort Road,1.298688314,103.8848534,0,1,0,0,5,4,0,950000,474,1,1,Condominium,2016,Freehold,2.308865312,4.33,TANJONG RHU
142,The Gale,78 FLORA ROAD,1.358085926,103.9673208,0,0,0,0,0,3,0,960000,915,2,2,Condominium,0,Freehold,1.4,2.24,FLORA DRIVE
143,5 LiveTour,17A Lim Tai See,1.322802353,103.7923746,0,0,0,0,0,2,0,5700000,2800,5,4,Semi-Detached House,0,Freehold,0,0, 
144,Kingsford Hillview Peak,105 Hillview Rise,1.364843897,103.7637276,1,0,2,0,2,0,1,1150000,850,2,2,Condominium,2016,99-year Leasehold,2.800015812,3.42,HILLVIEW
145,River Isles,Punggol Central,1.400221793,103.9092521,0,0,5,0,5,0,1,1280888,1141,3,3,Condominium,2016,99-year Leasehold,3,2.51,PUNGGOL FIELD
146,Paya Lebar Residences,27 Paya Lebar Road,1.317521438,103.8914757,2,4,5,0,5,2,5,1880000,1291,3,2,Apartment,2003,Freehold,2.8,2.92,ALJUNIED
147,1 Canberra,17 Canberra Drive,1.437873277,103.8294748,0,0,1,0,3,1,1,1055000,1055,3,2,Executive Condominium,2015,99-year Leasehold,2.5,0,SEMBAWANG EAST
148,Nanyang Park Semi D. 5 mins walk to Future MRT,Jalan Limbok,1.364810619,103.8749071,0,0,0,0,5,2,0,4800000,6500,6,7,Semi-Detached House,0,999-year Leasehold,0,0, 
149,THE ESTUARY,95 Yishun Avenue 1,1.410648962,103.8317352,0,0,1,0,5,1,0,970000,1034,2,2,Condominium,2013,99-year Leasehold,2.1,2.42,YISHUN SOUTH
150,Symphony Suites,21 Yishun Close,1.435759355,103.844351,0,0,4,0,5,0,1,799999,689,2,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
151,The Crest,113 Prince Charles Crescent,1.293117406,103.8205055,0,0,0,0,1,0,0,3460000,1873,4,3,Condominium,2017,99-year Leasehold,2.100027748,4.31,ALEXANDRA NORTH
152,Kallang Riverside,51 Kampong Bugis,1.307104742,103.8670878,1,1,4,0,4,1,1,2550000,1001,2,2,Condominium,2019,Freehold,3.849545021,4.59,KAMPONG BUGIS
153,* Brand New Bungalow@Phillip Avenue *,Phillip Avenue,1.363926067,103.8759105,0,0,0,0,5,2,0,8200000,7300,7,9,Bungalow House,2020,Freehold,0,0, 
154,Spottiswoode Residences,48 Spottiswoode Park Road,1.275271152,103.8368322,2,0,2,0,4,0,0,1380000,624,1,1,Condominium,2014,Freehold,2.8,4.48,EVERTON PARK
155,Citylights,88 Jellicoe Road,1.309215476,103.8629159,2,3,5,0,5,4,1,1188888,678,2,1,Condominium,2007,99-year Leasehold,4.200010963,4.36,LAVENDER
